,Date,Volume (BTC)
629,2017-03-21,11125.4953951
630,2017-03-22,14521.2563566
631,2017-03-23,5916.99539286
632,2017-03-24,16072.4170833
633,2017-03-25,13507.4354209
634,2017-03-26,9012.91765111
635,2017-03-27,8687.08711524
636,2017-03-28,9115.51712488
637,2017-03-29,9379.71932021
638,2017-03-30,8645.37787081
639,2017-03-31,12058.7880946
640,2017-04-01,5209.12836262
641,2017-04-02,7639.89621671
642,2017-04-03,11076.862730600002
643,2017-04-04,7420.8662382
644,2017-04-05,5588.97640824
645,2017-04-06,9134.29559762
646,2017-04-07,5450.27271426
647,2017-04-08,2720.79822734
648,2017-04-09,4817.42424874
649,2017-04-10,3656.81631296
650,2017-04-11,3487.75310814
651,2017-04-12,3475.19462571
652,2017-04-13,7135.3029565
653,2017-04-14,8982.76789635
654,2017-04-15,1804.4507967999998
655,2017-04-16,2663.99028304
656,2017-04-17,3568.82507477
657,2017-04-18,5514.18240451
658,2017-04-19,6046.51943656
659,2017-04-20,5972.93539154
660,2017-04-21,5023.0385203999995
661,2017-04-22,4173.28321472
662,2017-04-23,2604.72196524
663,2017-04-24,3048.68890003
664,2017-04-25,5249.77353318
665,2017-04-26,8707.63904245
666,2017-04-27,6669.98746832
667,2017-04-28,8234.2755437
668,2017-04-29,3927.45061482
669,2017-04-30,3536.1758111
670,2017-05-01,8604.41493207
671,2017-05-02,8920.68985793
672,2017-05-03,11077.5894872
673,2017-05-04,19548.529736700002
674,2017-05-05,15603.6843662
675,2017-05-06,7901.142840100001
676,2017-05-07,7667.78585113
677,2017-05-08,19262.353526299998
678,2017-05-09,16807.733232299997
679,2017-05-10,11265.378638299999
680,2017-05-11,14740.2193264
681,2017-05-12,17062.8446277
682,2017-05-13,10532.2345134
683,2017-05-14,4816.73208815
684,2017-05-15,13316.8021781
685,2017-05-16,16554.0885802
686,2017-05-17,17797.3185241
687,2017-05-18,11916.1233907
688,2017-05-19,14124.618314899999
689,2017-05-20,12309.9474735
690,2017-05-21,6755.83436855
691,2017-05-22,16338.5354063
692,2017-05-23,14138.9196683
693,2017-05-24,22144.598201099998
694,2017-05-25,32964.761425900004
695,2017-05-26,28326.8220144
696,2017-05-27,26216.275126900004
697,2017-05-28,15375.2181261
698,2017-05-29,12129.2780859
699,2017-05-30,13888.850972999999
700,2017-05-31,16279.2924315
701,2017-06-01,18401.663601199998
702,2017-06-02,12428.700594299999
703,2017-06-03,10810.5846892
704,2017-06-04,8828.62494281
705,2017-06-05,12221.444806
