,Date,Daily Closing Price
430,2016-09-03,595.01
431,2016-09-04,603.72
432,2016-09-05,603.48
433,2016-09-06,608.16
434,2016-09-07,615.16
435,2016-09-08,625.67
436,2016-09-09,622.01
437,2016-09-10,621.65
438,2016-09-11,606.32
439,2016-09-12,608.04
440,2016-09-13,607.46
441,2016-09-14,608.5
442,2016-09-15,606.71
443,2016-09-16,605.69
444,2016-09-17,604.1
445,2016-09-18,608.0
446,2016-09-19,608.72
447,2016-09-20,600.94
448,2016-09-21,595.46
449,2016-09-22,595.41
450,2016-09-23,601.42
451,2016-09-24,599.33
452,2016-09-25,598.98
453,2016-09-26,606.47
454,2016-09-27,604.26
455,2016-09-28,603.95
456,2016-09-29,605.6
457,2016-09-30,608.23
458,2016-10-01,612.98
459,2016-10-02,608.6
460,2016-10-03,611.16
461,2016-10-04,607.19
462,2016-10-05,608.49
463,2016-10-06,610.25
464,2016-10-07,614.88
465,2016-10-08,614.34
466,2016-10-09,613.06
467,2016-10-10,616.0
468,2016-10-11,639.0
469,2016-10-12,634.5
470,2016-10-13,634.02
471,2016-10-14,638.2
472,2016-10-15,635.96
473,2016-10-16,638.97
474,2016-10-17,636.91
475,2016-10-18,635.95
476,2016-10-19,627.98
477,2016-10-20,628.89
478,2016-10-21,629.0
479,2016-10-22,654.52
480,2016-10-23,648.74
481,2016-10-24,648.6
482,2016-10-25,651.97
483,2016-10-26,675.11
484,2016-10-27,684.71
485,2016-10-28,685.91
486,2016-10-29,711.13
487,2016-10-30,697.23
488,2016-10-31,697.01
489,2016-11-01,726.6
490,2016-11-02,742.0
491,2016-11-03,685.22
492,2016-11-04,702.7
493,2016-11-05,703.46
494,2016-11-06,709.93
495,2016-11-07,702.86
496,2016-11-08,709.31
497,2016-11-09,721.5
498,2016-11-10,714.47
499,2016-11-11,716.39
500,2016-11-12,702.28
501,2016-11-13,700.38
502,2016-11-14,703.82
503,2016-11-15,711.06
504,2016-11-16,739.71
505,2016-11-17,735.24
506,2016-11-18,748.98
507,2016-11-19,750.75
508,2016-11-20,727.09
509,2016-11-21,736.76
510,2016-11-22,749.22
511,2016-11-23,740.18
512,2016-11-24,735.63
513,2016-11-25,737.07
514,2016-11-26,729.91
515,2016-11-27,727.32
516,2016-11-28,729.54
517,2016-11-29,730.76
518,2016-11-30,742.06
519,2016-12-01,751.54
520,2016-12-02,769.99
521,2016-12-03,760.75
522,2016-12-04,762.0
523,2016-12-05,750.24
524,2016-12-06,758.98
525,2016-12-07,763.99
526,2016-12-08,766.84
527,2016-12-09,769.57
528,2016-12-10,772.28
529,2016-12-11,768.97
530,2016-12-12,776.9
531,2016-12-13,775.35
532,2016-12-14,777.09
533,2016-12-15,775.89
534,2016-12-16,781.32
535,2016-12-17,788.52
536,2016-12-18,788.67
537,2016-12-19,791.0
538,2016-12-20,798.65
539,2016-12-21,832.75
540,2016-12-22,859.96
541,2016-12-23,914.0
542,2016-12-24,892.61
543,2016-12-25,890.67
544,2016-12-26,897.1
545,2016-12-27,930.34
546,2016-12-28,976.47
547,2016-12-29,969.58
548,2016-12-30,959.54
549,2016-12-31,966.3
550,2017-01-01,997.75
551,2017-01-02,1012.54
